stopdate,stoptime,streetnbr,streetdir,street,Min,sex,race,ethnic,Year of birth,enfaction,rpmainid
 01/09/2018,828,4199,,VALMONT RD/CENTER GREEN DR,10,F,W,N,1990,Y,2992
 01/09/2018,849,3003,,VALMONT RD,10,M,W,N,1957,N,2993
 01/09/2018,1126,3699,,28TH ST/WINDING TRAIL DR,10,F,W,N,1981,N,2994
 01/09/2018,1111,3699,,28TH ST/WINDING TRAIL DR,10,F,W,N,1963,Y,2995
 01/09/2018,1100,3549,,28TH ST/KALMIA CT,10,F,W,N,1973,N,2996
 01/09/2018,1023,3549,,28TH ST/KALMIA CT,10,F,W,N,1955,Y,2997
 01/09/2018,1037,3549,,28TH ST/KALMIA CT,10,M,W,N,1969,N,2998
 01/09/2018,1048,3549,,28TH ST/KALMIA CT,10,F,W,N,1944,Y,2999
 01/09/2018,1323,,,FOLSOM ST/CANYON BLVD,10,M,W,N,1949,N,3000
 01/01/2018,1500,1799,,BROADWAY/CANYON BLVD,10,M,W,N,1992,Y,3001
 01/01/2018,1500,1799,,BROADWAY/CANYON BLVD,10,M,W,N,1982,Y,3002
 01/01/2018,1500,1799,,BROADWAY/CANYON BLVD,10,M,W,N,1980,Y,3003
 01/09/2018,930,1100 BLK,,S BROADWAY,5,M,W,N,1968,N,3004
 01/09/2018,1135,3000 BLK,,19TH ST,5,M,W,N,1985,Y,3005
 01/09/2018,1150,3000 BLK,,19TH ST,15,F,W,H,1978,N,3006
 01/09/2018,1215,2899,,19TH ST/CEDAR AVE,5,F,W,N,1977,N,3007
 01/10/2018,30,1899,,9TH ST/WALNUT ST,14,M,W,N,1996,Y,3008
 01/10/2018,118,1825,,33RD ST,9,M,W,N,1984,N,3009
 01/09/2018,2315,1600,,28TH ST,15,M,W,N,1994,Y,3010
 01/10/2018,815,799,,20TH ST/CASCADE AVE,10,M,W,N,1971,Y,3011
 01/10/2018,845,2799,,DARTMOUTH AVE/DOVER DR,10,M,W,N,1966,Y,3012
 01/10/2018,1204,,,PEARL ST/28TH ST,20,F,W,N,1991,Y,3014
 01/10/2018,1252,2765,,55TH ST/PEARL PKWY,10,F,W,N,1999,N,3015
 01/10/2018,817,1279,,EISENHOWER DR/LEE CIR,14,M,W,N,1991,N,3016
 01/10/2018,1110,,,SPINE RD/63RD ST,10,M,W,N,1990,N,3017
 01/10/2018,1505,1699,,19TH ST/GOSS ST,10,F,W,N,1978,Y,3018
 01/10/2018,1910,,,29TH ST/ARAPAHOE AVE,5,M,W,N,1961,N,3019
 01/10/2018,1755,355,,PONCA PL,0,M,W,N,1982,Y,3020
 01/10/2018,1755,355,,PONCA PL,0,M,W,N,1982,Y,3021
 01/10/2018,2150,1599,,FOLSOM ST/ARAPAHOE AVE,10,M,W,N,1985,Y,3022
 01/10/2018,1750,1898,,30TH ST/WALNUT ST,10,M,W,N,1939,Y,3023
