stopdate,stoptime,streetnbr,streetdir,street,Min,sex,race,ethnic,Year of birth,enfaction,rpmainid
 05/27/2018,1305,1400,,PEARL ST,10,M,W,N,1997,Y,6673
 06/02/2018,841,,,30TH ST/ARAPAHOE AVE,5,F,W,N,1964,N,6674
 06/02/2018,1442,4998,,BASELINE RD/FOOTHILLS PKWY,12,M,W,N,1972,N,6675
 06/02/2018,1235,,,DIAGONAL HWY/FOOTHILLS PKWY,10,M,W,H,1991,Y,6676
 06/02/2018,1045,2499,,MAPLETON AVE/FOLSOM ST,10,M,W,N,1970,Y,6677
 06/02/2018,1012,2249,,FOLSOM ST/PINE | MAPLETON ALLEY,10,F,W,N,1994,Y,6678
 06/02/2018,1000,2499,,MAPLETON AVE/FOLSOM ST,10,M,W,N,1986,Y,6679
 06/02/2018,1811,4727,,BROADWAY,5,M,W,N,1967,N,6680
 06/02/2018,1810,2922,,BASELINE RD,5,M,W,N,1994,Y,6681
 06/02/2018,1756,,,DIAGONAL HWY/FOOTHILLS PKWY,10,M,W,N,1978,N,6682
 06/02/2018,1740,,,DIAGONAL HWY/FOOTHILLS PKWY,10,M,W,N,1992,Y,6683
 06/02/2018,1513,,,DIAGONAL HWY/FOOTHILLS PKWY,10,M,W,N,1984,N,6684
 06/02/2018,1659,,,DIAGONAL HWY/FOOTHILLS PKWY,10,M,W,N,1988,N,6685
 06/02/2018,1618,3399,,30TH ST/IRIS AVE,10,F,W,N,1996,Y,6686
 06/02/2018,1757,1199,,30TH ST/COLORADO AVE,10,M,W,N,1993,N,6687
 06/02/2018,2255,2999,,MAPLETON AVE/30TH ST,7,M,W,N,2000,Y,6688
 06/02/2018,1745,5200,,MANHATTAN CIR,10,M,W,H,1971,N,6689
 06/02/2018,2345,1199,,QUINCE AVE/BROADWAY,8,F,W,N,1962,N,6690
 06/03/2018,0,,,PEARL ST/28TH ST,8,F,W,N,1993,N,6691
 06/03/2018,110,2336,,PEARL ST,5,M,W,N,1986,Y,6692
 06/02/2018,2245,,,BROADWAY/BASELINE RD,5,M,W,N,1988,N,6693
 06/03/2018,300,2900,,IRIS,10,M,W,N,1991,,6694
 06/02/2018,114,,,BROADWAY BALSEM,10,M,W,H,1998,Y,6695
 06/03/2018,145,,,11TH AND WALNUT,10,M,W,N,1994,N,6696
 06/03/2018,630,1750,,13TH ST,10,M,W,N,1988,N,6697
 06/03/2018,700,1800,,15TH ST,10,M,W,N,1992,N,6698
 06/03/2018,945,1480,,CANYON BLVD,10,M,W,N,1967,N,6699
 06/03/2018,1045,27TH,,CANYON,10,M,W,N,1996,N,6700
 06/03/2018,1335,24TH,,PEARL,5,M,W,N,1997,N,6701
 06/03/2018,1225,4700,,TABLE MESA DR,8,M,W,N,1961,N,6702
 06/03/2018,1604,1199,,ARAPAHOE AVE/BROADWAY,5,M,W,N,0,N,6703
 06/02/2018,2000,1000,,LEHIGH ST/TABLE MESA DR,20,F,W,N,1983,Y,6704
 06/03/2018,2255,,,27TH WAY/BROADWAY,10,M,A,N,1964,Y,6705
 06/03/2018,1700,1650,,30TH ST,10,M,W,N,1968,Y,6706
 06/04/2018,430,3300,,BASELINE RD,10,M,W,N,1989,N,6707
 06/02/2018,2300,1200,,WALNUT ST,10,M,W,N,1969,N,6708
 06/02/2018,2300,1200,,WALNUT ST,10,F,W,H,1979,N,6709
 06/04/2018,54,1480,,CANYON BLVD,10,M,W,N,1986,N,6710
 06/04/2018,54,1480,,CANYON BLVD,10,M,W,N,1961,Y,6711
 06/03/2018,2337,1505,,30TH ST,5,M,W,N,1998,N,6712
 06/03/2018,2347,1505,,30TH ST,10,F,W,N,1959,N,6713
 06/02/2018,30,1505,,30TH ST,5,F,W,N,1959,N,6714
 06/03/2018,331,2900,,IRIS AVE,5,M,W,H,1970,N,6715
 05/30/2018,930,1275,,13TH ST,10,M,W,,1965,N,6716
 06/04/2018,943,3399,,14TH ST/IRIS AVE,10,F,W,N,1999,N,6717
 06/04/2018,1445,200 BLK,,FOOTHILLS PKY,5,M,W,N,1954,N,6718
 06/04/2018,1650,4199,,28TH ST/JAY RD,15,M,W,H,1968,Y,6719
 06/04/2018,1600,1400,,PEARL ST,10,M,W,N,1992,N,6720
 06/05/2018,320,,,FOLSOM ST/CANYON BLVD,10,M,W,N,1994,Y,6721
 06/05/2018,857,5200,,PINEHURST DR,5,M,W,H,1989,N,6722
 06/05/2018,830,4199,,VALMONT RD/CENTER GREEN DR,5,F,W,N,1963,N,6723
 06/05/2018,840,2999,,34TH ST/VALMONT RD,5,M,W,H,1968,N,6724
 06/05/2018,1020,1698,,30TH ST/CANYON BLVD,10,M,W,N,1989,N,6725
 06/05/2018,930,698,,FOOTHILLS PKWY/BASELINE RD,10,F,W,N,1982,N,6726
 06/05/2018,1100,4700,,STERLING DR/47TH ST,10,M,W,H,1969,N,6727
 06/05/2018,1225,399,,BASELINE RD/,10,F,W,N,2000,Y,6728
 06/05/2018,1252,,,"HWY 36, MM38",10,M,W,N,1999,N,6729
 06/05/2018,1315,,,HWY36/TABLE MESA,10,M,W,N,1996,N,6730
 06/01/2018,750,1200,,CANYON BLVD,15,M,W,N,1989,N,6731
 06/01/2018,750,1200,,CANYON BLVD,15,M,W,N,1989,N,6732
 06/01/2018,750,1200,,CANYON BLVD,15,M,B,N,1991,N,6733
 06/05/2018,1130,878,,BROADWAY/20TH ST,5,F,W,N,1988,N,6734
 06/02/2018,1945,,,BROADWAY/BASELINE RD,5,M,W,N,1990,N,6735
 06/02/2018,1855,1111,,BROADWAY,10,M,W,N,1965,N,6736
 06/05/2018,1055,,,FOOTHILLS PKWY/ARAPAHOE AVE,10,F,W,N,1976,Y,6737
 06/05/2018,1158,,,FOOTHILLS PKWY/ARAPAHOE AVE,10,F,W,N,1989,Y,6738
 06/05/2018,1253,,,27TH WAY/MOORHEAD AVE,5,M,W,N,1957,N,6739
 06/05/2018,1541,,,27TH WAY/MOORHEAD AVE,10,M,W,N,1999,N,6740
 06/05/2018,1528,899,,GILPIN DR/E AURORA AVE,10,M,W,N,1975,Y,6741
 06/05/2018,1627,,,FOOTHILLS PKWY/BASELINE RD,10,F,W,N,1974,N,6742
 06/04/2018,2300,2200,,CANYON BLVD,5,M,W,N,1967,N,6743
 06/05/2018,1700,19TH,,GOSS,10,M,A,N,1995,Y,6744
 06/06/2018,30,3400,,DIAGONAL HWY,5,F,W,,2000,N,6745
 06/06/2018,248,5340,,ARAPAHOE AVE,14,M,W,N,1990,N,6746
 06/06/2018,735,291,,ARAPAHOE AVE,15,M,W,N,1994,N,6747
 06/06/2018,735,291,,ARAPAHOE AVE,16,F,W,N,1982,N,6748
 06/06/2018,751,291,,ARAPAHOE AVE,17,M,B,N,1986,N,6749
 06/06/2018,841,1236,,CANYON BLVD,13,M,A,N,1991,N,6750
 06/06/2018,841,1236,,CANYON BLVD,13,M,W,N,1999,Y,6751
 06/06/2018,1012,1560,,30TH ST/MARINE ST,10,M,W,N,1973,Y,6752
 06/06/2018,820,,,HWY 36 WB ON RP @ T MESA/TABLE MESA DR,10,M,W,N,1985,Y,6753
 06/06/2018,808,,,HWY 36 WB ON RP @ T MESA/TABLE MESA DR,10,F,W,N,1996,N,6754
 06/06/2018,759,,,HWY 36 WB ON RP @ BASELINE EB/BASELINE RD,10,M,W,N,1996,N,6755
 06/06/2018,924,1599,,FOLSOM ST/ARAPAHOE AVE,5,M,W,H,1984,N,6756
 06/06/2018,748,1198,,28TH ST/COLORADO AVE,10,F,W,N,1987,Y,6757
 06/06/2018,1000,2299,,30TH ST/PEARL ST,20,M,B,N,1992,Y,6758
 06/06/2018,1303,2499,,MAPLETON AVE/FOLSOM ST,10,M,W,N,1989,Y,6759
 06/06/2018,1240,,,DIAGONAL HWY/FOOTHILLS PKWY,10,M,W,H,1992,N,6760
 06/06/2018,1223,,,DIAGONAL HWY/FOOTHILLS PKWY,10,F,W,N,1984,N,6761
 06/06/2018,1208,,,DIAGONAL HWY/FOOTHILLS PKWY,10,M,W,N,1976,Y,6762
 06/05/2018,930,1236,,CANYON BLVD,10,M,W,N,1982,N,6763
 06/05/2018,930,1236,,CANYON BLVD,10,M,W,N,1984,N,6764
 06/05/2018,930,1236,,CANYON BLVD,10,M,W,N,1963,N,6765
 06/06/2018,1200,,,9TH ST/CANYON BLVD,10,M,W,N,1969,N,6766
 06/06/2018,1100,,,FOOTHILLS PKWY/VALMONT RD,10,M,W,H,1966,N,6767
 06/06/2018,1513,,,DIAGONAL HWY/FOOTHILLS PKWY,10,F,W,H,1977,N,6768
 06/06/2018,1334,1560,,30TH ST/MARINE ST,10,M,W,H,1997,Y,6769
 06/06/2018,1405,2387,,REGENT DR/KITTREDGE LOOP DR,10,F,W,N,1973,Y,6770
 06/06/2018,1350,1198,,28TH ST/COLORADO AVE,10,M,B,N,1975,Y,6771
 06/06/2018,1529,649,,15TH ST/COLUMBINE | BASELINE ALLEY,10,F,W,H,1974,Y,6772
 06/06/2018,1546,649,,16TH ST/COLUMBINE | BASELINE ALLEY,10,F,W,N,1995,Y,6773
 06/06/2018,1620,699,,12TH ST/BASELINE RD,10,M,W,N,1985,Y,6774
 06/06/2018,1635,649,,15TH ST/COLUMBINE | BASELINE ALLEY,5,M,W,N,1980,N,6775
 06/06/2018,1652,,,FOOTHILLS PKWY/ARAPAHOE AVE,15,M,B,N,1996,Y,6776
 06/06/2018,2234,2999,,28TH ST/VALMONT RD,10,M,W,N,1985,Y,6777
 06/07/2018,50,2100,,28TH ST,10,M,W,N,1964,N,6778
 06/07/2018,218,3000,,AIRPORT RD/VALMONT RD,15,M,W,N,1948,N,6779
 06/07/2018,1020,,,30TH ST/ARAPAHOE AVE,10,M,W,N,1988,N,6780
 06/07/2018,1026,,,FOOTHILLS PKWY/BASELINE RD,10,M,W,N,2000,Y,6781
 06/07/2018,1036,,,FOOTHILLS PKWY/BASELINE RD,10,M,W,N,1977,N,6782
 06/07/2018,1045,1099,,28TH FRONTAGE RD/E COLLEGE AVE,5,M,W,N,1969,N,6783
 06/07/2018,1125,2199,,FOLSOM ST/PINE ST,5,M,W,N,1977,Y,6784
 06/07/2018,1030,,,HWY 36 WB ON RP @ BASELINE EB/BASELINE RD,10,M,W,N,1991,N,6785
 06/07/2018,956,1560,,30TH ST/MARINE ST,10,F,W,N,1989,N,6786
 06/07/2018,941,4718,,PEARL PKWY/PEARL EAST CIR,10,M,W,N,1990,Y,6787
 06/07/2018,1309,1899,,30TH ST/WALNUT ST,11,M,W,N,1992,Y,6788
 06/07/2018,1245,2900,,CANYON BLVD,15,M,W,N,1988,N,6789
 06/07/2018,1320,2099,,BROADWAY/SPRUCE ST,10,F,W,N,1957,N,6790
 06/07/2018,1032,1830,,30TH ST,11,F,W,N,1949,Y,6791
 06/07/2018,941,4745,,VALMONT RD/47TH ST,10,F,W,N,1986,N,6792
 06/07/2018,1042,,,FOOTHILLS PKWY/ARAPAHOE AVE,10,M,W,N,2001,N,6793
 06/07/2018,1101,,,FOOTHILLS PKWY/ARAPAHOE AVE,10,M,W,N,1964,Y,6794
 06/07/2018,1123,1722,,ARAPAHOE AVE,15,M,W,N,1996,Y,6795
 06/07/2018,1320,698,,FOOTHILLS PKWY/BASELINE RD,10,M,W,N,1994,Y,6796
 06/07/2018,1023,2999,,CENTER GREEN CT/VALMONT RD,10,F,W,N,1992,Y,6797
 06/07/2018,1745,2900,,CANYON BLVD,5,M,I,N,1997,Y,6798
 06/07/2018,1530,2900,,CANYON BLVD,20,F,W,N,1994,Y,6799
 06/08/2018,1042,3599,,47TH ST/DIAGONAL HWY,10,M,W,N,1998,N,6800
 06/08/2018,1111,3599,,47TH ST/DIAGONAL HWY,10,F,W,N,1987,Y,6801
 06/08/2018,800,800 BLK,,ARAPAHOE,8,M,W,N,1990,N,6802
 06/08/2018,904,100 BLK,,ARAPAHOE,8,M,W,N,2011,N,6803
 06/08/2018,1056,1799,,BROADWAY/CANYON BLVD,8,M,W,N,1982,N,6804
 06/08/2018,748,1649,,9TH ST/MARINE | ARAPAHOE ALLEY,8,M,W,N,1972,N,6805
 06/08/2018,1845,1722,,14TH ST,5,M,W,N,1965,N,6806
 06/08/2018,1705,3000,,FOLSOM ST,10,M,A,N,1977,Y,6807
 06/02/2018,5,2900,,IRIS AVE,15,F,W,N,1987,N,6808
 06/02/2018,2205,,,30TH ST/DIAGONAL HWY,5,M,U,N,1995,N,6809
 06/01/2018,2200,2900,,IRIS AVE,25,M,W,N,1989,N,6810
 06/02/2018,505,3660,,IRIS AVE,10,F,W,N,1978,Y,6811
 06/02/2018,2215,3351,,47TH ST/MITCHELL LN,5,F,B,N,1973,Y,6812
 06/02/2018,2250,3399,,25TH ST/IRIS AVE,5,F,W,N,1991,Y,6813
 06/02/2018,2325,,,JUNCTION PL/PEARL PKWY,5,F,W,N,1955,N,6814
 05/19/2018,2300,2995,,EAGLE WAY,5,M,W,N,1948,N,6815
 05/20/2018,5,,,55TH ST/DIAGONAL HWY,20,M,W,H,1993,N,6816
 06/01/2018,2200,2900,,IRIS AVE,25,M,W,N,1989,N,6817
 06/09/2018,750,3000,,AIRPORT RD/VALMONT RD,6,F,W,N,1968,Y,6818
 06/09/2018,745,291,,ARAPAHOE AVE,10,M,W,N,1994,N,6819
 06/09/2018,745,291,,ARAPAHOE AVE,10,F,W,N,1981,N,6820
 06/09/2018,820,1700,,13TH ST/ARAPAHOE AVE,10,M,W,N,1992,N,6821
 06/09/2018,1732,1698,,30TH ST/CANYON BLVD,2,,,,0,,6822
 06/09/2018,2120,,,FOOTHILLS PKWY/PEARL PKWY,4,F,W,N,1972,N,6823
 06/09/2018,2340,1700,,WALNUT ST,5,M,W,N,1994,Y,6824
 06/10/2018,145,905,,CHERRY AVE,45,M,W,H,1998,N,6825
 06/10/2018,145,905,,CHERRY AVE,45,M,W,H,1999,Y,6826
 06/10/2018,145,905,,CHERRY AVE,45,M,W,H,2000,N,6827
 05/26/2018,2331,,,27TH ST/S BROADWAY,5,M,W,N,1998,N,6828
 05/26/2018,2338,,,BASELINE RD/BROADWAY,10,M,W,N,1996,Y,6829
 06/05/2018,840,1001,,ARAPAHOE AVE,5,M,W,N,1981,N,6830
 06/08/2018,8,2099,,BROADWAY/SPRUCE ST,10,M,W,H,1995,N,6831
 06/11/2018,340,699,,22ND ST/BASELINE RD,15,M,W,N,1996,Y,6832
 06/11/2018,3,1301,,30TH ST,5,M,W,N,1979,N,6833
 06/11/2018,545,,,29TH ST/BASELINE RD,8,F,W,N,1973,N,6834
 06/11/2018,810,,,27TH ST/BROADWAY,5,M,W,N,1927,Y,6835
 06/11/2018,755,700,,28TH ST/BASELINE RD,10,F,W,N,1997,N,6836
 06/11/2018,1245,3299,,MOORHEAD AVE/MARTIN DR,7,M,W,H,1998,Y,6837
 06/11/2018,813,,,BEAR MT DR/GREEN CT,12,M,W,N,1954,Y,6838
 06/12/2018,931,1560,,30TH ST/MARINE ST,10,F,W,H,1984,N,6839
 06/12/2018,855,,,DIAGONAL HWY/FOOTHILLS SB ON RP @ DIAGONAL,5,F,W,N,1965,Y,6840
 06/12/2018,919,1560,,30TH ST/MARINE ST,10,M,W,N,1994,Y,6841
 06/12/2018,1152,5800,,VALMONT RD,10,M,W,N,1988,N,6842
 06/12/2018,832,,,DIAGONAL HWY/47TH ST,10,F,W,N,1958,Y,6843
 06/12/2018,823,,,DIAGONAL HWY/INDEPENDENCE RD,10,F,W,N,1965,N,6844
 06/12/2018,803,,,DIAGONAL HWY/47TH ST,10,F,W,N,1956,Y,6845
 06/12/2018,742,,,DIAGONAL HWY/47TH ST,10,F,W,N,1977,N,6846
 06/12/2018,753,,,DIAGONAL HWY/FOOTHILLS SB ON RP @ DIAGONAL,10,M,W,N,1985,Y,6847
 06/12/2018,810,1777,,BROADWAY,10,M,W,N,1996,N,6848
 06/12/2018,801,1001,,ARAPAHOE AVE,5,M,W,N,1996,N,6849
 06/12/2018,801,1001,,ARAPAHOE AVE,5,F,B,N,1996,N,6850
 06/12/2018,900,1236,,CANYON BLVD,10,M,W,N,1996,N,6851
 06/12/2018,756,1777,,BROADWAY,5,M,W,N,1985,Y,6852
 06/12/2018,1256,999,,13TH ST/EUCLID AVE,55,M,B,N,1964,Y,6853
 06/08/2018,1635,1740,,30TH ST,10,M,W,N,1988,N,6854
 06/08/2018,1630,1740,,30TH ST,10,M,W,N,1969,N,6855
 06/12/2018,1715,1236,,CANYON BLVD,10,M,W,N,1968,N,6856
 06/12/2018,1730,14TH,,CANYON,10,M,W,N,1950,N,6857
 06/12/2018,1750,1480,,CANYON BLVD,10,M,W,N,1987,N,6858
 06/12/2018,1651,,,30TH ST/ARAPAHOE AVE,15,F,W,N,1951,Y,6859
 06/12/2018,1605,3200,,WALNUT ST,5,F,W,N,1990,N,6860
 06/12/2018,2333,2000,,14TH ST,30,M,W,,1993,Y,6861
 06/12/2018,2230,1600,,30TH ST,30,M,W,,2000,N,6862
 06/13/2018,834,500,,FOOTHILLS PKWY,10,M,W,N,1975,Y,6863
 06/13/2018,800,1800,,30TH ST,320,F,W,N,1985,Y,6864
 06/13/2018,1011,3200,,WALNUT ST,5,F,W,N,1959,Y,6865
 06/13/2018,855,1236,,CANYON BLVD,10,F,W,N,1959,,6866
 06/13/2018,855,,,,10,M,W,N,1967,,6867
 06/13/2018,900,,,,10,M,W,N,2000,,6868
 06/13/2018,925,,,,10,M,W,N,1978,,6869
 06/13/2018,745,,,12TH AND EUCLIDE,10,M,W,N,1997,,6870
 06/13/2018,1339,200 BLK,,FOOTHILLS PKY,5,M,W,N,1994,N,6871
 06/13/2018,1352,200 BLK,,FOOTHILLS PKY,15,F,W,N,1960,N,6872
 06/13/2018,1300,4800,,BASELINE RD,10,M,W,N,1990,N,6873
 06/13/2018,1237,698,,FOOTHILLS PKWY/BASELINE RD,10,M,W,N,1999,Y,6874
 06/13/2018,1239,1199,,28TH FRONTAGE RD/COLORADO AVE,10,F,W,N,1958,N,6875
 06/13/2018,1216,,,COLORADO AVE/28TH ST,10,M,W,N,1993,N,6876
 06/13/2018,1203,1198,,28TH ST/COLORADO AVE,10,M,W,N,1954,Y,6877
 06/13/2018,1144,1198,,28TH ST/COLORADO AVE,10,M,W,N,1969,N,6878
 06/13/2018,1123,1199,,28TH FRONTAGE RD/COLORADO AVE,10,M,W,N,1975,N,6879
 06/13/2018,1106,1198,,28TH ST/COLORADO AVE,10,M,W,N,1963,N,6880
 06/13/2018,1413,200 BLK,,FOOTHILLS PKWY,15,M,W,N,1985,N,6881
 06/13/2018,1433,200 BLK,,FOOTHILLS PKWY,5,M,W,N,1994,N,6882
 06/13/2018,1012,1099,,28TH FRONTAGE RD/E COLLEGE AVE,25,M,B,N,1986,N,6883
 06/13/2018,1410,,,ASH AVE/S BROADWAY,10,M,W,N,1997,Y,6884
 06/13/2018,1429,,,27TH WAY/BROADWAY,9,F,W,N,1989,N,6885
 06/13/2018,1538,1600,,VIOLET AVE,10,M,W,H,1990,Y,6886
 06/13/2018,1749,2499,,MAPLETON AVE/FOLSOM ST,10,M,W,N,1946,Y,6887
 06/13/2018,1725,2499,,MAPLETON AVE/FOLSOM ST,10,M,W,N,1982,Y,6888
 06/13/2018,1658,2499,,MAPLETON AVE/FOLSOM ST,10,M,W,N,1993,N,6889
 06/13/2018,1641,2499,,MAPLETON AVE/FOLSOM ST,10,F,W,H,1973,Y,6890
 06/13/2018,1629,2499,,MAPLETON AVE/FOLSOM ST,10,M,W,H,1991,Y,6891
 06/13/2018,1418,1025,,ROSEWOOD AVE,10,F,W,N,1991,N,6892
 06/13/2018,1518,3325,,28TH ST,10,M,W,N,1982,N,6893
 06/13/2018,2115,1199,,WALNUT ST/BROADWAY,10,F,W,N,2000,Y,6894
 06/13/2018,2018,,,13TH ST/CANYON BLVD,10,F,W,N,1959,N,6895
 06/13/2018,1920,1575,,30TH ST,10,F,W,N,2001,Y,6896
 06/13/2018,1942,1575,,30TH ST,10,M,W,N,1986,Y,6897
 06/13/2018,2115,1199,,WALNUT ST/BROADWAY,10,F,W,N,2003,Y,6898
 06/13/2018,2015,,,13TH ST/CANYON BLVD,10,M,W,N,1992,N,6899
 06/13/2018,2125,1949,,20TH ST/WALNUT | PEARLALLEY,10,M,W,N,1962,N,6900
 06/13/2018,2030,,,13TH ST/CANYON BLVD,10,M,W,N,1969,N,6901
 06/13/2018,2050,291,,ARAPAHOE AVE,10,M,W,N,1998,Y,6902
 06/13/2018,1920,1575,,30TH ST,10,F,W,N,2002,Y,6903
 06/13/2018,2050,291,,ARAPAHOE AVE,10,M,W,N,1999,Y,6904
 06/13/2018,2015,,,13TH ST/CANYON BLVD,10,M,W,N,1991,N,6905
 06/13/2018,2156,3199,,28TH ST/GLENWOOD DR,10,F,W,N,1995,Y,6906
 06/14/2018,150,2200,,30TH ST,10,M,W,N,1984,Y,6907
 06/14/2018,110,1849,,11TH ST/CANYON | WALNUT ALLEY,6,F,W,N,1997,Y,6908
 06/14/2018,122,1199,,PEARL ST/BROADWAY,4,F,W,N,1997,Y,6909
 06/14/2018,200,1900,,21ST ST/WALNUT ST,5,M,A,N,1969,N,6910
 06/10/2018,200,1099,,13TH ST/COLLEGE AVE,5,M,,N,1967,,6911
 06/10/2018,150,,,17TH STREET/CANYON,10,M,W,N,1999,Y,6912
 06/14/2018,209,,,47TH ST/PEARL PKWY,10,M,W,N,1984,Y,6913
 06/13/2018,820,1560,,30TH ST/MARINE ST,10,M,W,N,1997,N,6914
 06/14/2018,918,2930,,PEARL ST,15,M,W,N,1980,N,6915
 06/14/2018,955,1600,,CANYON BLVD,5,M,W,N,1967,N,6916
 06/14/2018,815,,,EB HWY 36 MP39.3,8,F,W,N,1985,N,6917
 06/14/2018,1055,899,,DEWEY AVE/9TH ST,10,F,W,N,1971,Y,6918
 06/14/2018,1055,899,,DEWEY AVE/9TH ST,10,M,W,N,1941,Y,6919
 06/14/2018,1055,899,,DEWEY AVE/9TH ST,10,M,W,N,1969,Y,6920
 06/14/2018,1055,899,,DEWEY AVE/9TH ST,10,F,W,N,1980,Y,6921
 06/14/2018,1111,1199,,28TH FRONTAGE RD/COLORADO AVE,15,M,W,N,1969,N,6922
 06/14/2018,1111,1199,,28TH FRONTAGE RD/COLORADO AVE,10,F,W,N,1964,Y,6923
 06/14/2018,1021,1199,,28TH FRONTAGE RD/COLORADO AVE,10,F,W,N,1955,N,6924
 06/14/2018,1003,1199,,28TH FRONTAGE RD/COLORADO AVE,10,M,W,N,1969,N,6925
 06/14/2018,1159,698,,FOOTHILLS PKWY/BASELINE RD,10,F,W,N,2001,N,6926
 06/14/2018,1015,2775,,PEARL ST,10,M,W,H,1944,N,6927
 06/14/2018,1043,,,FOOTHILLS PKWY/ARAPAHOE AVE,20,M,W,H,2002,Y,6928
 06/14/2018,1406,599,,20TH ST/COLUMBINE AVE,10,M,W,N,1979,Y,6929
 06/14/2018,1425,799,,13TH ST/CASCADE AVE,10,M,W,N,1998,Y,6930
 06/14/2018,1439,699,,17TH ST/BASELINE RD,10,F,W,N,1997,Y,6931
 06/14/2018,1501,699,,17TH ST/BASELINE RD,10,F,W,H,1985,N,6932
 06/14/2018,1633,1198,,28TH ST/COLORADO AVE,10,M,W,N,1963,Y,6933
 06/14/2018,1621,1199,,28TH FRONTAGE RD/COLORADO AVE,10,M,W,N,1956,N,6934
 06/14/2018,1519,1199,,28TH FRONTAGE RD/COLORADO AVE,10,F,W,N,1980,N,6935
 06/14/2018,1501,1199,,28TH FRONTAGE RD/COLORADO AVE,10,M,W,N,1966,N,6936
 06/14/2018,1813,,,DIAGONAL HWY/FOOTHILLS PKWY,10,F,W,N,1967,N,6937
 06/14/2018,1801,,,DIAGONAL HWY/FOOTHILLS PKWY,10,F,W,N,1994,N,6938
 06/14/2018,1747,,,DIAGONAL HWY/FOOTHILLS PKWY,10,F,W,N,1971,N,6939
 06/14/2018,2345,1899,,16TH ST/WALNUT ST,10,M,W,N,1965,N,6940
 06/15/2018,0,2999,,30TH ST/VALMONT RD,10,M,W,N,1961,,6941
 06/15/2018,1,1199,,30TH ST/COLORADO AVE,10,F,W,N,1992,Y,6942
 06/14/2018,2315,1399,,BROADWAY/UNIVERSITY AVE,5,M,W,N,1985,Y,6943
 06/15/2018,140,703,,WALNUT ST,15,M,W,N,1960,N,6944
 06/14/2018,2244,1369,,28TH ST/TAFT DR,6,F,W,N,1999,N,6945
 06/15/2018,126,1500,,CANYON BLVD,15,F,W,N,1996,Y,6946
 06/15/2018,200,1699,,BROADWAY/ARAPAHOE AVE,5,M,W,N,1973,Y,6947
 06/15/2018,222,1649,,9TH ST/MARINE | ARAPAHOE ALLEY,9,F,A,N,1997,Y,6948
 06/15/2018,315,,,ARAPAHOE AVE/28TH ST,5,M,A,N,1981,N,6949
 06/15/2018,744,,,FOOTHILLS PKWY/VALMONT RD,10,F,W,N,1999,Y,6950
 06/15/2018,800,4745,,VALMONT RD/47TH ST,10,F,W,N,1970,N,6951
 06/14/2018,2000,26TH,,CANYON,10,F,W,N,1999,N,6952
 06/13/2018,745,,,12TH AND EUCLIDE,10,M,W,,1977,,6953
 06/13/2018,745,,,12TH AND EUCLIDE,10,M,W,N,1972,,6954
 06/16/2018,100,,,,10,M,W,N,1970,N,6955
 06/16/2018,110,,,,5,M,W,N,1982,N,6956
 06/14/2018,1720,,,30TH ST/ARAPAHOE AVE,10,F,W,N,1998,Y,6957
 06/14/2018,1745,,,30TH ST/ARAPAHOE AVE,10,M,W,N,1994,Y,6958
 06/14/2018,1810,,,30TH ST/ARAPAHOE AVE,10,M,W,N,1978,Y,6959
 06/14/2018,1156,1140,,LEHIGH ST,5,M,A,N,1991,N,6960
 06/14/2018,1220,1710,,LEHIGH ST,10,F,W,N,1974,N,6961
 06/16/2018,740,1001,,ARAPAHOE AVE,10,M,W,N,1981,N,6962
 06/16/2018,1110,1001,,ARAPAHOE AVE,15,M,I,N,1986,N,6963
 06/16/2018,1240,2599,,COLORADO AVE/REGENT DR,5,F,W,N,1997,Y,6964
 06/16/2018,1425,,,33RD ST/ARAPAHOE AVE,10,F,W,H,1995,Y,6965
 06/16/2018,1440,1560,,30TH ST/MARINE ST,10,M,W,N,1976,Y,6966
 06/16/2018,1705,1886,,30TH ST,10,M,W,N,1971,N,6967
 06/16/2018,1805,,,DIAGONAL HWY/INDEPENDENCE RD,10,F,A,N,1991,Y,6968
 06/16/2018,1430,1300,,PEARL ST,10,M,W,N,1972,N,6969
 06/16/2018,1725,1300,,PEARL ST,10,M,W,N,1978,Y,6970
 06/16/2018,1830,1300,,PEARL ST,10,M,W,N,1979,Y,6971
 06/16/2018,1712,1300,,PEARL ST,10,M,W,N,1982,N,6972
 06/16/2018,2349,1699,,9TH ST/ARAPAHOE AVE,10,F,W,N,1998,Y,6973
 06/12/2018,1615,4800,,ARAPAHOE AVE,10,F,W,N,1998,Y,6974
 06/16/2018,1700,1001,,ARAPAHOE AVE,10,M,W,N,1963,Y,6975
 06/16/2018,1756,1900,,ALPINE AVE,10,F,W,N,1957,N,6976
 06/17/2018,530,,,,10,M,W,N,1986,N,6977
 06/17/2018,530,,,,10,F,W,N,1982,N,6978
 06/16/2018,1011,1198,,28TH ST/COLORADO AVE,10,F,W,N,1973,N,6979
 06/16/2018,1206,,,DIAGONAL HWY/FOOTHILLS PKWY,10,M,W,N,1988,Y,6980
 06/17/2018,742,1000,,CANYON BLVD,10,F,W,N,1998,N,6981
 06/17/2018,740,1000,,CANYON BLVD,10,F,W,N,2002,N,6982
 06/17/2018,725,1236,,CANYON BLVD,10,M,W,N,1982,N,6983
 06/17/2018,645,1560,,BROADWAY,10,M,W,N,1996,N,6984
 06/17/2018,650,1560,,BROADWAY,10,M,W,N,1982,N,6985
